"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux","GenFlux","GenConc"
2007-10-01,17.9811974441101,57616,10,275,2007.74874429224,1894,2008,"A",1,2.88932662549719,NA,NA,3.38798998372981,0.452759982975439,32.9014265206294,51114.8488141714,40.4501559234718,381762.564855672,46228.4009771332,29.7561349236281
2007-10-02,15.6875328882473,57617,10,276,2007.75148401826,1894,2008,"A",2,2.75286631335178,NA,NA,3.3454372523198,0.447956533091415,31.4098927663925,42573.0579081784,38.5733445010658,269617.435210962,33951.4857778498,25.049
2007-10-03,13.252284100541,57618,10,277,2007.75422374429,1894,2008,"A",3,2.58416992252214,NA,NA,3.29795457766989,0.441825629011687,29.9142912203432,34251.7840633418,36.7711729157088,183938.682875245,30611.5040529761,26.735
2007-10-04,15.9140676591967,57619,10,278,2007.75696347032,1894,2008,"A",4,2.76720347649819,NA,NA,3.33134074937546,0.450784852077228,31.0607659597025,42707.7905209211,37.3734712618506,155345.158231935,48727.754822097,35.439
2007-10-05,11.8647586284758,57620,10,279,2007.75970319635,1894,2008,"A",5,2.47357254652664,NA,NA,3.25550127706485,0.438966162270834,28.6949885067261,29415.6673182023,37.7714908639302,170401.111594754,26962.5785569492,26.302
2007-10-06,11.9497091675818,57621,10,280,2007.76244292237,1894,2008,"A",6,2.48070694064051,NA,NA,3.24797980871803,0.440168866369486,28.510500454675,29435.8050998418,38.7647601598221,204028.712302146,22422.8549118133,21.718
2007-10-07,13.5637694105965,57622,10,281,2007.7651826484,1894,2008,"A",7,2.60740222401541,14.3161884712499,NA,3.26698388115574,0.446718269070972,29.1259604696108,34132.9949284564,41.5679133735273,268217.881432096,32200.5621970044,27.477
2007-10-08,15.3760475781918,57623,10,282,2007.76792237443,1894,2008,"A",8,2.73281094653843,13.9440242046901,NA,3.28680473811123,0.453473821751722,29.7829096933247,39566.3129102779,42.3929132622011,333037.940755888,30254.2645271839,22.7734140983607
2007-10-09,14.0168389524953,57624,10,283,2007.77066210046,1894,2008,"A",9,2.64025938917319,13.7053536424398,NA,3.25627896114825,0.450188664434289,28.8704523437563,34963.7023573738,42.3896535709345,364834.843286228,26247.192533346,21.673
2007-10-10,11.496639625683,57625,10,284,2007.77340182648,1894,2008,"A",10,2.44205478620623,13.4545472888887,NA,3.20295583922148,0.441940578865194,27.3246060026231,27141.7951980805,41.0159431990762,304305.643453771,26039.612832821,26.215
2007-10-11,10.618817388254,57626,10,285,2007.77614155251,1894,2008,"A",11,2.36262765257491,12.6980829644683,NA,3.17602443219364,0.439047817713026,26.57142966535,24378.3785688065,38.7401774894165,238266.162530694,18987.8726592551,20.696
2007-10-12,7.05089474580066,57627,10,286,2007.77888127854,1894,2008,"A",12,1.95315452306921,12.0103881240862,NA,3.08194194830378,0.418533871955028,23.9576193610834,14594.9171738361,36.2440639239283,176788.989872387,11174.5061846399,18.343
2007-10-13,7.90040013686098,57628,10,287,2007.78162100457,1894,2008,"A",13,2.06691340842586,11.4319154054117,NA,3.09361824368229,0.425704065372222,24.2940060211459,16582.9566379129,33.8888537002816,127983.398317989,14883.9746386395,21.805
