"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux","GenFlux","GenConc"
2008-10-01,0.0948614353350691,57982,10,275,2008.74943078324,1906,2009,1,-2.35533802755853,NA,NA,-3.16934550636647,0.747805399403081,0.0556961566095541,0.456487259785554,0.0923963358312209,31.807655801117,0.226210373157419,0.0276
2008-10-02,0.105621836955167,57983,10,276,2008.75216302368,1906,2009,2,-2.24789013973978,NA,NA,-3.15655108809058,0.750856283547053,0.0564965807366856,0.515572356017774,0.0863843305545505,19.6500366612381,0.218104868438941,0.0239
2008-10-03,0.11411689086577,57984,10,277,2008.75489526412,1906,2009,3,-2.17053199743691,NA,NA,-3.14015784159116,0.750606777307541,0.0576159770802008,0.568076212965827,0.0831337115761434,8.42711854868876,0.205081746912692,0.0208
2008-10-04,0.112417880083649,57985,10,278,2008.75762750455,1906,2009,4,-2.1855322786964,NA,NA,-3.15614222989463,0.750898794591491,0.0567379202135758,0.551090019810132,0.0871626047125708,6.31870930483616,0.236023587593223,0.0243
2008-10-05,0.102790152318299,57986,10,279,2008.76035974499,1906,2009,5,-2.27506572511874,NA,NA,-3.19443616265221,0.750620918492094,0.0545725243084971,0.484662362635971,0.0859405678615859,5.50072370719597,0.724695243480563,0.0816
2008-10-06,0.0951446037987559,57987,10,280,2008.76309198543,1906,2009,6,-2.35235739942039,NA,NA,-3.22328842792484,0.74884413698692,0.0530682984105869,0.436247616373872,0.087942503525984,6.53750515860708,0.128239702784115,0.0156
2008-10-07,0.0894812345250205,57988,10,281,2008.76582422587,1906,2009,7,-2.41372634579668,0.102062004840247,NA,-3.24896808272247,0.747510094601908,0.0517605452362479,0.400170022913747,0.102951585765727,30.3789876471185,0.123698858607388,0.016
2008-10-08,0.102790152318299,57989,10,282,2008.7685564663,1906,2009,8,-2.27506572511874,0.103194678694994,NA,-3.22637302697328,0.751100809179825,0.0529880402330532,0.470590449978558,0.0996449112409006,41.1062787060446,0.291299068457873,0.0328
2008-10-09,0.098825793826684,57990,10,283,2008.77128870674,1906,2009,9,-2.31439663718117,0.102223815390925,NA,-3.24677528517369,0.750312465761911,0.0519592769095816,0.443656810418391,0.0870921869987785,12.1885006615168,0.149424600265946,0.0175
2008-10-10,0.0940119299440088,57991,10,284,2008.77402094718,1906,2009,10,-2.36433359046711,0.099351678116388,NA,-3.27018071407581,0.749296568193944,0.0507925559619757,0.412569176783709,0.0832983840801301,6.51835687161202,0.089348938218786,0.011
2008-10-11,0.0925960876255749,57992,10,285,2008.77675318761,1906,2009,11,-2.37950838848634,0.0965199934795202,NA,-3.28508939130245,0.749128397017963,0.0500672782013845,0.400553344469616,0.0787824578363893,4.40554232392996,0.0272010267008889,0.0034
2008-10-12,0.0914634137708279,57993,10,286,2008.77948542805,1906,2009,12,-2.39181623616094,0.0949018879727387,NA,-3.29937755323857,0.749036213520562,0.0493777686073155,0.390204801896638,0.0741478303789264,2.89083549748176,0.146195120571291,0.0185
2008-10-13,0.0920297506982014,57994,10,287,2008.78221766849,1906,2009,13,-2.38564337705386,0.0944569089583737,NA,-3.30887571869757,0.749374059475087,0.0489251179730269,0.389021737818622,0.0709518173671458,2.2905765233783,0.112644417505055,0.014166667
2008-10-14,0.0866495498881527,57995,10,288,2008.78494990893,1906,2009,14,-2.44588345743121,0.0940523825816783,NA,-3.33618161938625,0.748211509524978,0.0476165492828153,0.35648230140717,0.0685127761232355,2.06543436482607,0.102565339211609,0.0137
2008-10-15,0.0928792560892617,57996,10,289,2008.78768214936,1906,2009,15,-2.37645495099945,0.0926365402632445,NA,-3.32857982866244,0.749967916700364,0.0479802316932092,0.385030214783051,0.066592128664027,1.97846759231338,0.126791330072573,0.0158
2008-10-16,0.159990181983027,57997,10,290,2008.7904143898,1906,2009,16,-1.83264282823715,0.101374309999865,NA,-3.14551122116996,0.747115583538244,0.0576199598324651,0.79648944705655,0.0660681873543962,1.84705380588166,1.02291322752668,0.074
2008-10-17,0.167352562038883,57998,10,291,2008.79314663024,1906,2009,17,-1.7876525419775,0.111851543156276,NA,-3.13819305665546,0.74642949558011,0.0579501529048606,0.837916406712586,0.0670795585921932,1.89900763034536,0.299306710155302,0.0207
2008-10-18,0.161689192765148,57999,10,292,2008.79587887067,1906,2009,18,-1.82207934972758,0.121721986747643,NA,-3.1615039662837,0.746970696901159,0.0566477612764986,0.791366180493587,0.0669492029251098,2.1920956402809,0.368806581129591,0.0264
2008-10-19,0.195386239943874,58000,10,293,2008.79861111111,1906,2009,19,-1.63277696179229,0.136568104772364,NA,-3.0980797121754,0.743916327268847,0.059876970695833,1.01080536452539,0.0709762431451748,8.52267200194511,0.305552817473828,0.0181
2008-10-20,0.187457522960644,58001,10,294,2008.80134335155,1906,2009,20,-1.67420300344659,0.150200643666999,NA,-3.12401961308228,0.744544014105885,0.0584200819138634,0.946190924357537,0.0834525763854189,129.837686708607,0.259141279740794,0.016
2008-10-21,0.171316920530498,58002,10,295,2008.80407559199,1906,2009,21,-1.76424010135275,0.162295982330191,NA,-3.16901932278928,0.746018901068961,0.0560108793980061,0.829060822771619,0.0998222290294195,134.60197648232,0.264951896615647,0.0179
2008-10-22,0.151778296536111,58003,10,296,2008.80680783242,1906,2009,22,-1.88533439831279,0.170710130965455,NA,-3.22637001977315,0.74808856538152,0.0530194476439594,0.695278204993641,0.103012721174278,92.4851811218884,0.184902391972151,0.0141
2008-10-23,0.145265421871315,58004,10,297,2008.80954007286,1906,2009,23,-1.92919271421282,0.168606593806639,NA,-3.25367845808418,0.748886344828113,0.0515774289234129,0.64734482634601,0.0937514000025893,39.008459901526,0.181988520520383,0.0145
2008-10-24,0.149512948826616,58005,10,298,2008.8122723133,1906,2009,24,-1.90037227567733,0.166058077633458,NA,-3.25248334937889,0.748415288456976,0.0515581540626095,0.666024046556349,0.0837425359313228,15.0322443648703,0.136929939053368,0.0106
2008-10-25,0.164520877402015,58006,10,299,2008.81500455373,1906,2009,25,-1.80471780253168,0.166462604010153,NA,-3.22482012072973,0.746874170334347,0.0529300454808559,0.752379626025128,0.0889749376276665,21.9289091299666,0.30419252148123,0.0214
2008-10-26,0.147530769580809,58007,10,300,2008.81773679417,1906,2009,26,-1.91371851763023,0.159626108244001,NA,-3.27757172141186,0.749000735953521,0.0503890859495111,0.642292470311464,0.0890946524916432,34.1137072338419,0.182277216432481,0.0143
2008-10-27,0.143000074161821,58008,10,301,2008.82046903461,1906,2009,27,-1.94491013010823,0.153275044129884,NA,-3.29970282591705,0.749735239784659,0.0493529471777261,0.609765849203264,0.0932392470291924,31.9749221930421,0.15550795293978,0.012586431
2008-10-28,0.141584231843387,58009,10,302,2008.82320127505,1906,2009,28,-1.9548604609614,0.149027517174582,NA,-3.3134858952213,0.750090331239629,0.0487240592812429,0.596035454886122,0.0999486664102032,35.9150647917432,0.0293589063150447,0.0024
2008-10-29,0.161689192765148,58010,10,303,2008.82593351548,1906,2009,29,-1.82207934972758,0.150443359493016,NA,-3.27150225718649,0.747913938313323,0.0507268618239788,0.708651533361166,0.133064203457956,86.5686881833455,0.0167639355058905,0.0012
