"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux","GenFlux","GenConc"
2008-10-01,0.00194599310740398,57982,10,275,2008.74943078324,1906,2009,"A:e",1,-6.24198283715472,NA,NA,-1.09707893063227,0.525952591114422,0.384492199246456,0.064646136252075,0.43058614983694,1.49332384018642,0.0645443407045161,0.38388675557691
2008-10-02,0.00166282464371721,57983,10,276,2008.75216302368,1906,2009,"A:e",2,-6.39923753008147,NA,NA,-1.08267656526334,0.497093726580613,0.384388269486162,0.0552243128190394,0.449514978694423,3.77086986691688,0.0550007704806099,0.382832305305904
2008-10-03,0.00166282464371721,57984,10,277,2008.75489526412,1906,2009,"A:e",3,-6.39923753008147,NA,NA,-1.08630295700383,0.496818616596235,0.382996248257974,0.0550243238447167,0.439719197906155,2.33637983872387,0.0564190750855431,0.392704400129084
2008-10-04,0.00166282464371721,57985,10,278,2008.75762750455,1906,2009,"A:e",4,-6.39923753008147,NA,NA,-1.08992934874431,0.496543506611858,0.381604227029786,0.0548243348703941,0.443284874337311,2.55110331819559,0.0541921173641559,0.377203683487342
2008-10-05,0.00166282464371721,57986,10,279,2008.76035974499,1906,2009,"A:e",5,-6.39923753008147,NA,NA,-1.0935557404848,0.49626839662748,0.380212205801597,0.0546243458960714,0.443780146962395,3.99064300023238,0.055020780730717,0.382971586448901
2008-10-06,0.00137965618003043,57987,10,280,2008.76309198543,1906,2009,"A:e",6,-6.58592095576026,NA,NA,-1.07413245070042,0.462829311678824,0.381085833318896,0.0454263055252239,0.44993591098837,11.7392362994413,0.0451698305056969,0.378934238655587
2008-10-07,0.00137965618003043,57988,10,281,2008.76582422587,1906,2009,"A:e",7,-6.58592095576026,0.00162237200604767,NA,-1.07741328773695,0.462719673139423,0.37984276651229,0.0452781291103376,0.452149041135582,7.63214785897842,0.0448037164228585,0.375862870893337
2008-10-08,0.00166282464371721,57989,10,282,2008.7685564663,1906,2009,"A:e",8,-6.39923753008147,0.00158191936837813,NA,-1.10443491570655,0.495443066674325,0.376036142116917,0.0540243789730866,0.459143942447324,4.80841609594636,0.0521838998323243,0.363225505717307
2008-10-09,0.00166282464371721,57990,10,283,2008.77128870674,1906,2009,"A:e",9,-6.39923753008147,0.00158191936837813,NA,-1.10806130744704,0.495167956689947,0.374644120888728,0.053824389998764,0.444138458540427,2.81419900457209,0.0555555185805637,0.386693623831328
2008-10-10,0.00194599310740398,57991,10,284,2008.77402094718,1906,2009,"A:e",10,-6.24198283715472,0.00162237200604767,NA,-1.13226816031698,0.522271313945393,0.370841714146021,0.0623510282591453,0.432914902458318,2.24418505913913,0.0615129028890038,0.365856842883903
2008-10-11,0.00194599310740398,57992,10,285,2008.77675318761,1906,2009,"A:e",11,-6.24198283715472,0.00166282464371721,NA,-1.13618563359651,0.52185681739698,0.369324219637381,0.0620958861341306,0.423310969650002,1.6752427049427,0.061090756862233,0.363346068634327
2008-10-12,0.00222916157109075,57993,10,286,2008.77948542805,1906,2009,"A:e",12,-6.10612974129656,0.00174372991905628,NA,-1.1583856010997,0.544853878706528,0.365507587374415,0.070396600410761,0.4223094352589,1.43512856876047,0.0718305686070322,0.3729529221311
2008-10-13,0.00222916157109075,57994,10,287,2008.78221766849,1906,2009,"A:e",13,-6.10612974129656,0.0018650878320649,NA,-1.16255454113987,0.544318965425915,0.363881695887092,0.070083454426114,0.420530938564693,1.55138526769305,0.0705953510543885,0.366539524539243
2008-10-14,0.00222916157109075,57995,10,288,2008.78494990893,1906,2009,"A:e",14,-6.10612974129656,0.00198644574507352,NA,-1.16672348118004,0.543784052145302,0.36225580439977,0.0697703084414671,0.428554287612141,2.12677697818992,0.0698514233567233,0.362676962762566
2008-10-15,0.0027954984984643,57996,10,289,2008.78768214936,1906,2009,"A",15,-5.87974483462371,0.00214825629575167,NA,-1.2001088292612,0.58101918986662,0.357178183673244,0.0862696289787344,0.433918241542833,2.52288640749787,0.0894003142260334,0.370140016052962
2008-10-16,0.00789253084482622,57997,10,290,2008.7904143898,1906,2009,"A",16,-4.84183842942114,0.00303821432448153,NA,-1.21950927056024,0.717183866055282,0.383078609744816,0.261226921830115,0.430256320875136,2.75198865163723,0.250937682290204,0.367989860274944
2008-10-17,0.00619352006270558,57998,10,291,2008.79314663024,1906,2009,"A",17,-5.08425168465895,0.00364500388952462,NA,-1.21736527366626,0.68652110143288,0.375444283187726,0.200907794910352,0.426903153891938,1.99468398208244,0.213628517387152,0.399215996644953
2008-10-18,0.00336183542583785,57999,10,292,2008.79587887067,1906,2009,"A",18,-5.69526819646161,0.00384726707787232,NA,-1.21555497098382,0.603405763501156,0.356798842331975,0.103636712567483,0.424869659134418,2.22977572778288,0.10115223019477,0.348245305535826
2008-10-19,0.0027954984984643,58000,10,293,2008.79861111111,1906,2009,"A",19,-5.87974483462371,0.00392817235321139,NA,-1.21828348781887,0.578060105799032,0.349989860744041,0.084533425648217,0.435435655812755,4.90486718480947,0.0846533916118191,0.350486550314743
2008-10-20,0.0027954984984643,58001,10,294,2008.80134335155,1906,2009,"A",20,-5.87974483462371,0.00400907762855047,NA,-1.22282715245829,0.577320334782135,0.348192780011741,0.0840993748155877,0.433425781969401,19.8343541979798,0.0803053124549737,0.332484397829627
2008-10-21,0.0027954984984643,58002,10,295,2008.80407559199,1906,2009,"A",21,-5.87974483462371,0.00408998290388955,NA,-1.22737081709771,0.576580563765238,0.34639569927944,0.0836653239829584,0.43306404616889,22.3940302670468,0.0854216740579473,0.353667434849713
2008-10-22,0.00336183542583785,58003,10,296,2008.80680783242,1906,2009,"A",22,-5.69526819646161,0.00417088817922863,NA,-1.23341247658735,0.599633274068864,0.349380349446731,0.101481917978445,0.434061727073853,6.44896463395487,0.104332156548987,0.359193105922168
