"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux","GenFlux","GenConc"
2007-10-01,17.9811974441101,57616,10,275,2007.74874429224,1894,2008,"A",1,2.88932662549719,NA,NA,-4.5855625475537,1.20157831666609,0.0211601369379809,32.8738694595473,0.0360073122635424,399.859588800353,22.2838471441004,0.0143435885347916
2007-10-02,15.6875328882473,57617,10,276,2007.75148401826,1894,2008,"A",2,2.75286631335178,NA,NA,-4.64605346202045,1.1996061534643,0.0197666461368292,26.7917683416642,0.0329348010691752,287.120031568864,37.5446587107844,0.0277
2007-10-03,13.252284100541,57618,10,277,2007.75422374429,1894,2008,"A",3,2.58416992252214,NA,NA,-4.6600973350555,1.1898788120693,0.0192213972653227,22.0084488607178,0.0316987321483312,196.210140409645,25.7624402914517,0.0225
2007-10-04,15.9140676591967,57619,10,278,2007.75696347032,1894,2008,"A",4,2.76720347649819,NA,NA,-4.62830837567425,1.19558592864053,0.0200449601568504,27.5613280267984,0.0327113507174211,160.496936713511,14.0247495466969,0.0102
2007-10-05,11.8647586284758,57620,10,279,2007.75970319635,1894,2008,"A",5,2.47357254652664,NA,NA,-4.64991357065572,1.17965748496101,0.0191901125660882,19.6720750353529,0.0338419811723977,179.911317910064,6.15069087300186,0.006
2007-10-06,11.9497091675818,57621,10,280,2007.76244292237,1894,2008,"A",6,2.48070694064051,NA,NA,-4.64499978651278,1.17839959154494,0.0192577376825408,19.8827450955599,0.035581338963076,217.474017468067,2.99411912902931,0.0029
2007-10-07,13.5637694105965,57622,10,281,2007.7651826484,1894,2008,"A",7,2.60740222401541,14.3161884712499,NA,-4.63922614332286,1.18399565846239,0.0194977149249927,22.8495608014591,0.040230813079309,300.08745021751,1.40629161249064,0.0012
2007-10-08,15.3760475781918,57623,10,282,2007.76792237443,1894,2008,"A",8,2.73281094653843,13.9440242046901,NA,-4.62210572555016,1.18776352185442,0.0199513650771748,26.5051991816508,0.0416282951522338,378.074462018481,8.67674176080632,0.00653127868852459
2007-10-09,14.0168389524953,57624,10,283,2007.77066210046,1894,2008,"A",9,2.64025938917319,13.7053536424398,NA,-4.62834616588185,1.1821444571828,0.0196696243676485,23.8209946863038,0.0420396969949973,411.431519823552,12.9582872748028,0.0107
2007-10-10,11.496639625683,57625,10,284,2007.77340182648,1894,2008,"A",10,2.44205478620623,13.4545472888887,NA,-4.62596314517312,1.16957534025629,0.0194299289456033,19.2999361858758,0.0422276102420243,341.811770905329,5.95985798195407,0.006
