"Date","Julian","Month","Day","waterYear","Q","GenConc","GenFlux","frost","frost_out_days","season"
2007-10-01,57616,10,275,2008,17.9811974441101,0.0143435885347916,22.2838471441004,"warm",NA,"fall"
2007-10-02,57617,10,276,2008,15.6875328882473,0.0277,37.5446587107844,"warm",NA,"fall"
2007-10-03,57618,10,277,2008,13.252284100541,0.0225,25.7624402914517,"warm",NA,"fall"
2007-10-04,57619,10,278,2008,15.9140676591967,0.0102,14.0247495466969,"warm",NA,"fall"
2007-10-05,57620,10,279,2008,11.8647586284758,0.006,6.15069087300186,"warm",NA,"fall"
2007-10-06,57621,10,280,2008,11.9497091675818,0.0029,2.99411912902931,"warm",NA,"fall"
2007-10-07,57622,10,281,2008,13.5637694105965,0.0012,1.40629161249064,"warm",NA,"fall"
2007-10-08,57623,10,282,2008,15.3760475781918,0.00653127868852459,8.67674176080632,"warm",NA,"fall"
2007-10-09,57624,10,283,2008,14.0168389524953,0.0107,12.9582872748028,"warm",NA,"fall"
2007-10-10,57625,10,284,2008,11.496639625683,0.006,5.95985798195407,"warm",NA,"fall"
2007-10-11,57626,10,285,2008,10.618817388254,0.0089,8.1654458188718,"warm",NA,"fall"
2007-10-12,57627,10,286,2008,7.05089474580066,0.0056,3.41150491380819,"warm",NA,"fall"
2007-10-13,57628,10,287,2008,7.90040013686098,0.0037,2.52559991575172,"warm",NA,"fall"
2007-10-14,57629,10,288,2008,7.13584528490669,0.0034,2.09622591089419,"warm",NA,"fall"
2007-10-15,57630,10,289,2008,6.73940943574521,0.00260779144698301,1.51847777815945,"warm",NA,"fall"
2007-10-16,57631,10,290,2008,7.53228113406818,0.0028,1.82220945195377,"warm",NA,"fall"
2007-10-17,57632,10,291,2008,9.45782668713824,0.0019,1.55259682896061,"warm",NA,"fall"
2007-10-18,57633,10,292,2008,14.7530769580809,0.0019,2.42186511343856,"warm",NA,"fall"
2007-10-19,57634,10,293,2008,21.7756548575129,0.002,3.76283315937823,"warm",NA,"fall"
2007-10-20,57635,10,294,2008,17.9245637513728,0.0012,1.85841876974233,"warm",NA,"fall"
2007-10-21,57636,10,295,2008,10.0241636145118,0.001,0.866087736293818,"warm",NA,"fall"
2007-10-22,57637,10,296,2008,11.6099070111577,7e-04,0.702167176034819,"warm",NA,"fall"
2007-10-23,57638,10,297,2008,17.8396132122667,0.001,1.54134258153985,"warm",NA,"fall"
2007-10-24,57639,10,298,2008,17.1600088994185,0.0015,2.22393715336464,"warm",NA,"fall"
2007-10-25,57640,10,299,2008,30.2990256144848,0.000599999999999999,1.57070148785489,"warm",NA,"fall"
2007-10-26,57641,10,300,2008,32.2812048602922,0.001,2.78909609992925,"warm",NA,"fall"
2007-10-27,57642,10,301,2008,38.794079525088,0.001,3.3518084709676,"warm",NA,"fall"
2007-10-28,57643,10,302,2008,31.4316994692319,0.0082,22.2687304399614,"warm",NA,"fall"
2007-10-29,57644,10,303,2008,21.0111000055586,0.00694260368152584,12.6033183577295,"warm",NA,"fall"
2007-10-30,57645,10,304,2008,22.7667444804166,0.009,17.7034205079719,"warm",NA,"fall"
2007-10-31,57646,10,305,2008,22.5118928630985,0.0057,11.0866569972187,"warm",NA,"fall"
2007-11-01,57647,11,306,2008,19.312089223438,0.0034,5.67311933027713,"warm",NA,"fall"
2007-11-02,57648,11,307,2008,15.2627801927171,7e-04,0.92309294605553,"warm",NA,"fall"
2007-11-03,57649,11,308,2008,13.5071357178591,4e-04,0.466806610409211,"warm",NA,"fall"
2007-11-04,57650,11,309,2008,14.8663443435556,0.0262158901291108,33.6730564741405,"warm",NA,"fall"
2007-11-05,57651,11,310,2008,19.6235745334934,0.032863322888001,55.7190028319858,"warm",NA,"fall"
2007-11-06,57652,11,311,2008,21.152684237402,0.0026,4.75173898708998,"warm",NA,"fall"
